CatalogNo,ProductName,Price,ScrapeDate
01060A,Thermo Scientific™ Nalgene™ Vacuum Chamber,602.00,2026-03-25T20:25:22Z
0102322A,Parr™ Microwave Acid Digestion Bomb,331.50,2026-03-25T20:25:26Z
011045A,"Welch™ Exhaust Filters for Welch™ DuoSeal™, Chemstar™ and Direct-Drive Pumps",491.00,2026-03-25T20:25:29Z
010075,Action Pump Stainless-Steel Piston Pump,398.50,2026-03-25T20:25:33Z
01670262,Invitrogen™ MAP2 Polyclonal Antibody,672.00,2026-03-25T20:25:36Z
01670128,Invitrogen™ AP2 alpha Monoclonal Antibody (3B5),676.20,2026-03-25T20:25:40Z
01673387,Invitrogen™ Dystrophin Polyclonal Antibody,874.00,2026-03-25T20:25:44Z
01676330,"Invitrogen™ CD63 Monoclonal Antibody (MEM-259), FITC",492.86,2026-03-25T20:25:47Z
01676287,"Invitrogen™ CD9 Monoclonal Antibody (MEM-61), FITC",492.86,2026-03-25T20:25:51Z
01912154,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,128.79,2026-03-25T20:25:55Z
01912148,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,128.79,2026-03-25T20:25:58Z
01912105,Mettler Toledo™ CarePacs™,757.90,2026-03-25T20:26:02Z
01670568,Invitrogen™ Tyrosine Hydroxylase Polyclonal Antibody,648.00,2026-03-25T20:26:06Z
01912157,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,130.91,2026-03-25T20:26:10Z
01912161,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,153.70,2026-03-25T20:26:13Z
01912175,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,205.64,2026-03-25T20:26:17Z
01914265,Mettler Toledo™ InLab™ Sensor Cables: MultiPin™ Connection,202.99,2026-03-25T20:26:21Z
02002212,"Albumin, Egg, Powder, Purified, J.T. Baker™",894.00,2026-03-25T20:26:25Z
02003892,"Silica Gel, 60 to 200 Mesh, BAKER ANALYZED™ Reagent, J.T. Baker™",1461.00,2026-03-25T20:26:29Z
02004315,"Stannic Chloride, 5-Hydrate, Lump, BAKER ANALYZED™ Reagent, J.T. Baker™",782.50,2026-03-25T20:26:32Z
02004427,"Tetrahydrofuran, Stabilized, HPLC Grade, J.T. Baker™",958.50,2026-03-25T20:26:36Z
02215380,"Fisherbrand™ Vortex Mixer Accessory, Cup Head",75.00,2026-03-25T20:26:40Z
02215395,Fisherbrand™ Vortex Mixer Accessories: Foam Insert Set,87.00,2026-03-25T20:26:43Z
02215479,Fisherbrand™ Aluminum Lab Frame Rods,145.00,2026-03-25T20:26:47Z
02215388,Fisherbrand™ Vortex Mixer Accessories Kits,427.00,2026-03-25T20:26:51Z
