Product_CatalogNo,Product_Name,Product_Price,Product_ScrapeDate
01060A,Thermo Scientific™ Nalgene™ Vacuum Chamber,602.00,2026-03-04T22:06:45Z
0102322A,Parr™ Microwave Acid Digestion Bomb,331.50,2026-03-04T22:06:51Z
011045A,"Welch™ Exhaust Filters for Welch™ DuoSeal™, Chemstar™ and Direct-Drive Pumps",491.00,2026-03-04T22:06:56Z
010075,Action Pump Stainless-Steel Piston Pump,398.50,2026-03-04T22:07:02Z
01670262,Invitrogen™ MAP2 Polyclonal Antibody,672.00,2026-03-04T22:07:08Z
01670128,Invitrogen™ AP2 alpha Monoclonal Antibody (3B5),676.20,2026-03-04T22:07:13Z
01673387,Invitrogen™ Dystrophin Polyclonal Antibody,874.00,2026-03-04T22:07:19Z
01676330,"Invitrogen™ CD63 Monoclonal Antibody (MEM-259), FITC",492.86,2026-03-04T22:07:24Z
01676287,"Invitrogen™ CD9 Monoclonal Antibody (MEM-61), FITC",492.86,2026-03-04T22:07:30Z
01912154,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,128.79,2026-03-04T22:07:36Z
01912148,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,128.79,2026-03-04T22:07:41Z
01912105,Mettler Toledo™ CarePacs™,757.90,2026-03-04T22:07:47Z
01670568,Invitrogen™ Tyrosine Hydroxylase Polyclonal Antibody,648.00,2026-03-04T22:07:53Z
01912157,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,130.91,2026-03-04T22:07:58Z
01912161,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,153.70,2026-03-04T22:08:04Z
01912175,Mettler Toledo™ Analytical Individual Weights: ASTM™ Class 1,205.64,2026-03-04T22:08:14Z
01914265,Mettler Toledo™ InLab™ Sensor Cables: MultiPin™ Connection,202.99,2026-03-04T22:08:22Z
02002212,"Albumin, Egg, Powder, Purified, J.T. Baker™",894.00,2026-03-04T22:08:29Z
02003892,"Silica Gel, 60 to 200 Mesh, BAKER ANALYZED™ Reagent, J.T. Baker™",1461.00,2026-03-04T22:08:35Z
02004315,"Stannic Chloride, 5-Hydrate, Lump, BAKER ANALYZED™ Reagent, J.T. Baker™",782.50,2026-03-04T22:08:41Z
02004427,"Tetrahydrofuran, Stabilized, HPLC Grade, J.T. Baker™",958.50,2026-03-04T22:08:46Z
02215380,"Fisherbrand™ Vortex Mixer Accessory, Cup Head",75.00,2026-03-04T22:08:52Z
02215395,Fisherbrand™ Vortex Mixer Accessories: Foam Insert Set,87.00,2026-03-04T22:08:58Z
02215479,Fisherbrand™ Aluminum Lab Frame Rods,145.00,2026-03-04T22:09:03Z
02215388,Fisherbrand™ Vortex Mixer Accessories Kits,427.00,2026-03-04T22:09:09Z
02216204,Troemner™ Large Dual Adjust Clamps,155.00,2026-03-04T22:09:15Z
02216359,Troemner™ Talboys™ Labjaws™ Bench Clamps,204.00,2026-03-04T22:09:20Z
022628092,Eppendorf™ Centrifuge 5810 R - Refrigerated Benchtop Centrifuge,23289.00,2026-03-04T22:09:26Z
02301101,"Troemner™ Metric Economical Stainless Steel Calibration Weight Sets, Class 7",385.00,2026-03-04T22:09:31Z
02301107,"Troemner™ Metric Economical Stainless Steel Calibration Weight Sets, Class 7",202.00,2026-03-04T22:09:37Z
02681483,Fisherbrand™ SureFit™ Ergo-F Pipet Tips,218.00,2026-03-04T22:09:43Z
02683148,BD Vacutainer™ Venous Blood Collection Tubes: SST™ Serum Separation Tubes,112.56,2026-03-04T22:09:49Z
02683165,BD Vacutainer™ Plastic Blood Collection Tubes with Lithium Heparin: Hemogard™,156.00,2026-03-04T22:09:54Z
02685103,BD Vacutainer™ Glass Blood Collection Tubes with Fluoride: Conventional Stoppers,550.00,2026-03-04T22:10:00Z
0268426,BD Vacutainer™ Glass Blood Collection Tubes with Acid Citrate Dextrose (ACD),515.00,2026-03-04T22:10:05Z
02687104,BD Vacutainer™ Plastic Blood Collection Tubes - PST Plasma Separation Tubes: Conventional Stopper,132.00,2026-03-04T22:10:11Z
0268904,BD Vacutainer™ Plastic Blood Collection Tubes for Lead Testing,106.00,2026-03-04T22:10:17Z
0269023,"Thermo Scientific™ Nalgene™ Polypropylene, Carboy with Tubulation",1650.00,2026-03-04T22:10:22Z
02717133,"Fisherbrand™ Low-Retention Pipette Tips, Nonfilter",48.50,2026-03-04T22:10:45Z
02717134,"Fisherbrand™ Low-Retention Pipette Tips, Nonfilter",131.00,2026-03-04T22:10:51Z
02717137,"Fisherbrand™ Low-Retention Pipet Tips, Nonfilter",96.00,2026-03-04T22:10:57Z
02717158,Fisherbrand™ Low-Retention Pipet Tips - Filtered,227.00,2026-03-04T22:11:02Z
028961E,Fisherbrand™ LDPE Wide-Mouth Bottles,142.30,2026-03-04T22:11:08Z
02912682,DWK Life Sciences™ Autoclaving Box for 10mL Pipette Tips,253.00,2026-03-04T22:11:13Z
02912705,"DWK Life Sciences Wheaton™ CryoELITE™ Cryogenic Vials, Round Bottom with Internal Screw Cap",401.00,2026-03-04T22:11:19Z
02913310,DWK Life Sciences Wheaton™ Peroxide Cured Silicone Tubing For General Lab Use,327.00,2026-03-04T22:11:25Z
03150859,Thermo Scientific™ Pre-cut PEEK Tubing in a 5-foot Coil,61.40,2026-03-04T22:11:31Z
033377Y,Thermo Scientific™ Nalgene™ General Long-Term Storage Cryogenic Tubes,653.50,2026-03-04T22:11:36Z
033378,DWK Life Sciences Kimble™ Closures for 20mL Glass and Plastic Scintillation Vials,831.00,2026-03-04T22:11:42Z
0337723,Thermo Scientific™ National Target All-Plastic Disposable Syringes,139.20,2026-03-04T22:11:47Z
033914A,Thermo Scientific™ Target2™ Nylon Syringe Filters,388.00,2026-03-04T22:11:53Z
03490A,Fisherbrand™ Tin Specimen/Sample Boxes,356.12,2026-03-04T22:11:59Z
03570B,Justman Brush Flexible-Handle Brushes,1917.00,2026-03-04T22:12:05Z
04355600,"Ethanol, 200 proof (100%), USP, Decon™ Labs",576.00,2026-03-04T22:12:10Z
04355720,"Ethanol, 200 proof (100%), USP, Decon™ Labs",408.00,2026-03-04T22:12:16Z
0488110C,"Fisherbrand™ U.S. Standard Stainless Steel Sieves, 8 in. dia. x 2 in.D",358.50,2026-03-04T22:12:22Z
04739MI,"Raf-1 Rabbit anti-Human, Mouse, Rat, Clone: AM223, MilliporeSigma™",551.00,2026-03-04T22:12:28Z
048841AA,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",615.00,2026-03-04T22:12:33Z
048841AG,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",618.00,2026-03-04T22:12:39Z
048841AJ,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",615.00,2026-03-04T22:12:45Z
048841AP,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",615.00,2026-03-04T22:12:51Z
048841AR,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",615.00,2026-03-04T22:12:56Z
048841AX,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",618.00,2026-03-04T22:13:02Z
048841AY,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",511.00,2026-03-04T22:13:08Z
048841AZ,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",696.00,2026-03-04T22:13:13Z
048841BB,"Fisherbrand™ U.S. Standard Stainless Steel Test Sieves, 12 in. dia. x 3.25 in.D",744.50,2026-03-04T22:13:19Z
04884AF,"Fisherbrand™ U.S. Standard Brass Test Sieves, 12 in. dia. x 3.25 in.D",812.50,2026-03-04T22:13:25Z
04887B,Fisherbrand™ U.S. Standard Brass and Stainless Steel Test Sieve Receivers,176.00,2026-03-04T22:13:30Z
04979259,Thermo Scientific™ Locator Plus™ Rack and Box System Packages,10540.00,2026-03-04T22:13:36Z
049813,HemoCue America StatSpin™ CytoFuge™ 2 Personal Cytocentrifuge System Accessories: Filter Cards,413.00,2026-03-04T22:13:42Z
04979264,Thermo Scientific™ Locator Plus™ Rack and Box System Packages,14030.00,2026-03-04T22:13:47Z
04979262,Thermo Scientific™ Locator Plus™ Rack and Box System Packages,12500.00,2026-03-04T22:13:53Z
04999138,Eisco™ Premium Three Finger Clamp w/ Dual Screw Adjustments,323.00,2026-03-04T22:13:59Z
0503020,Drummond™ Capillary Tubes,52.30,2026-03-04T22:14:04Z
05401505,Eppendorf™ Rotor for Centrifuge 5430 / 5430 R,2787.00,2026-03-04T22:14:10Z
05400318,Eppendorf™ Rotor for Centrifuge 5702 / 5702 R / 5702 RH,1689.00,2026-03-04T22:14:16Z
0540301,Eppendorf™ PCR Cooler,385.00,2026-03-04T22:14:21Z
05412904,BUCHI Woulff Bottle for Rotavapor R-210/215,1232.00,2026-03-04T22:14:27Z
05419MI,"Myc Tag Mouse anti-All, Clone: 9E10, MilliporeSigma™",610.00,2026-03-04T22:14:32Z
05713384,Cytiva Whatman™ Puradisc PES Syringe Filters: Nonsterile,4184.00,2026-03-04T22:14:38Z
05539111,"Corning™ PET Storage Bottles, Octagonal, Sterile",281.00,2026-03-04T22:14:44Z
05713401,Cytiva Whatman™ Puradisc™ 25mm Polypropylene Syringe Filters,LOGIN_REQUIRED,2026-03-04T22:14:49Z
05715112,QIAGEN Multi-Barrier Pouches,395.50,2026-03-04T22:14:56Z
05888103,Fisherbrand™ Filter Adapters,161.50,2026-03-04T22:15:02Z
06717594,Restek™ Presents Hamilton Replacement Needles for Luer-Lock Syringes,214.50,2026-03-04T22:15:08Z
06802002,"E1618-97 Test Mix, Restek&Trade;",134.60,2026-03-04T22:15:13Z
06717606,Restek™ Presents Hamilton Standard Microliter Volume Syringes: Needle: N,718.50,2026-03-04T22:15:19Z
06802558,"Marine Oil FAME Mix, Restek",359.50,2026-03-04T22:15:25Z
06728912,"Perfluorotributylamine (PFTBA), Restek",126.30,2026-03-04T22:15:31Z
07200386,"Corning™ Costar™ Spin-X™ Centrifuge Tube Filters, CA Membrane",456.00,2026-03-04T22:15:37Z
06802794,Restek™ Syringe Filters with Luer-Lok™ Inlet,361.00,2026-03-04T22:15:43Z
06728864,"Michigan GRO Mix, Restek",70.50,2026-03-04T22:15:49Z
07201772,Corning™ LSE™ Orbital Shaker Clamps,121.00,2026-03-04T22:15:54Z
0774819,Eppendorf™ Rotor for Vacufuge Plus,1829.00,2026-03-04T22:16:00Z
08757187,BD BBL™ Trypticase™ Soy Agar with Lecithin and Polysorbate 80 Sterile Pack Media - RODAC Plates,241.00,2026-03-04T22:16:05Z
08774333,Corning™ BioCoat™ Poly-D-Lysine Vented Cap Flasks,173.90,2026-03-04T22:16:11Z
09311201,Labconco™ Digital Chloridometer: Acid Reagent,LOGIN_REQUIRED,2026-03-04T22:16:17Z
09313806,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and LN2 back-up system",33300.00,2026-03-04T22:16:22Z
09313805,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and LN2 back-up system",33300.00,2026-03-04T22:16:28Z
09313804,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and LN2 back-up system",33300.00,2026-03-04T22:16:34Z
09313807,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and CO2 back-up system",33300.00,2026-03-04T22:16:39Z
09313808,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and CO2 back-up system",33300.00,2026-03-04T22:16:45Z
09313809,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and CO2 back-up system",33300.00,2026-03-04T22:16:51Z
09313810,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and chart recorder",33300.00,2026-03-04T22:16:57Z
09313812,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and chart recorder",33300.00,2026-03-04T22:17:02Z
09313811,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and chart recorder",33300.00,2026-03-04T22:17:08Z
09313813,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:17:13Z
09313816,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:17:19Z
09313814,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:17:25Z
09313815,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:17:30Z
09313821,Thermo Scientific™ Revco™ RLE Ultra-Low Freezer Package with Racks and Boxes,33300.00,2026-03-04T22:17:36Z
09313823,Thermo Scientific™ Revco™ RLE Ultra-Low Freezer Package with Racks and Boxes,33300.00,2026-03-04T22:17:42Z
09313826,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and LN2 back-up system",33300.00,2026-03-04T22:17:47Z
09313825,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and LN2 back-up system",33300.00,2026-03-04T22:17:53Z
09313827,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and LN2 back-up system",33300.00,2026-03-04T22:17:59Z
09313828,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and CO2 back-up system",33300.00,2026-03-04T22:18:04Z
09313830,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and CO2 back-up system",33300.00,2026-03-04T22:18:10Z
09313832,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and chart recorder",33300.00,2026-03-04T22:18:16Z
09313829,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and CO2 back-up system",33300.00,2026-03-04T22:18:22Z
09313833,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and chart recorder",33300.00,2026-03-04T22:18:27Z
09313831,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and chart recorder",33300.00,2026-03-04T22:18:33Z
09313834,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:18:39Z
09313835,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:18:44Z
09313836,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:18:50Z
09313837,"Thermo Scientific™ Revco™ RLE Ultra-Low temperature freezer package with racks, boxes, and HID access key lock",33300.00,2026-03-04T22:18:56Z
09313843,"Thermo Scientific™ Forma™ 89000 Series Ultra-Low Freezer Package with Racks, Boxes, and LN2 Back-Up System",33300.00,2026-03-04T22:19:02Z
